,Y,sex,age_years,corpus,child_TNW,child_TNS,examiner_TNW,n_dos,repetition,fillers
118,1,male,4,ENNI,212,66,14,0,7,1
119,1,male,5,ENNI,468,67,2,1,47,9
120,1,female,4,ENNI,212,67,8,3,13,3
121,1,male,4,ENNI,292,90,20,1,16,13
122,1,female,4,ENNI,611,100,202,1,21,8
123,1,male,4,ENNI,321,64,20,0,13,5
124,1,male,4,ENNI,658,97,315,1,109,20
125,1,male,4,ENNI,261,62,38,0,1,1
126,1,male,4,ENNI,227,58,93,0,3,3
127,1,female,4,ENNI,436,70,0,0,5,2
128,1,male,4,ENNI,867,130,13,8,46,9
129,1,male,4,ENNI,316,62,22,1,23,13
130,1,male,5,ENNI,480,106,2,4,41,10
131,1,female,5,ENNI,714,115,31,7,13,0
132,1,female,5,ENNI,757,77,0,3,230,44
133,1,female,5,ENNI,186,58,4,0,33,25
134,1,female,5,ENNI,426,70,2,1,19,1
135,1,male,5,ENNI,499,68,25,0,21,3
136,1,male,5,ENNI,288,61,44,0,5,7
137,1,male,5,ENNI,453,77,7,3,9,2
138,1,male,5,ENNI,660,74,0,2,44,9
139,1,male,5,ENNI,930,144,54,2,12,9
140,1,male,5,ENNI,337,61,89,0,14,4
141,1,female,5,ENNI,591,68,2,1,27,11
142,1,male,5,ENNI,728,91,19,0,68,5
143,1,female,5,ENNI,384,74,10,3,9,8
144,1,female,6,ENNI,711,81,0,0,31,14
145,1,male,6,ENNI,880,128,12,11,53,7
146,1,male,6,ENNI,529,68,22,0,28,18
147,1,female,6,ENNI,326,61,7,0,6,0
148,1,male,6,ENNI,660,79,0,2,28,3
149,1,female,6,ENNI,384,71,5,0,5,0
150,1,male,6,ENNI,509,72,0,0,8,3
151,1,female,6,ENNI,1258,132,0,10,86,58
152,1,male,6,ENNI,559,70,0,0,45,9
153,1,female,6,ENNI,493,57,0,1,14,9
154,1,male,6,ENNI,288,59,3,1,12,8
155,1,male,7,ENNI,485,71,0,1,13,5
156,1,male,7,ENNI,536,78,0,2,19,4
157,1,male,7,ENNI,422,59,0,0,23,7
158,1,female,7,ENNI,1668,189,0,5,17,7
159,1,male,7,ENNI,471,69,2,1,18,4
160,1,male,7,ENNI,625,130,9,8,34,8
161,1,male,7,ENNI,361,55,0,1,9,1
162,1,male,7,ENNI,482,65,9,1,15,2
163,1,male,7,ENNI,917,172,0,9,17,7
164,1,male,7,ENNI,388,46,0,0,2,2
165,1,female,7,ENNI,709,87,0,0,14,7
166,1,female,7,ENNI,370,53,0,3,5,1
167,1,male,7,ENNI,348,54,7,1,13,3
168,1,male,8,ENNI,361,62,2,0,15,1
169,1,female,8,ENNI,1006,126,5,4,29,11
170,1,female,8,ENNI,514,65,0,1,2,1
171,1,male,8,ENNI,638,99,0,0,5,1
